system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
8,NZ_CANCVZ010000004.1,cas_type_II-A,WP_283574311.1,PDLC01580,mkCas0193,Cas9,0,0,0.999,0.999,159660,163787,-,-,21,33,"PDLC00975,cas9_maka_4_II, 1, 6.5e-110, 0.841, 0.82 | PDLC01460,COG3513, 1, 5.1e-128, 0.837, 0.83 | PDLC01580,mkCas0193, 1, 0, 0.999, 0.999 | PDLC00973,cas_Csn1, 1, 8.6e-168, 0.756, 0.972 | PDLC01104,icity0002, 1, 0.048, 0.995, 0.874 | PDLC01256,cd09643, 1, 5.7e-154, 0.761, 0.994","PDLC01580, mkCas0193, 0, 0.999, 0.999 | PDLC00973, cas_Csn1, 8.6e-168, 0.756, 0.972 | PDLC01256, cd09643, 5.7e-154, 0.761, 0.994 | PDLC01460, COG3513, 5.1e-128, 0.837, 0.83 | PDLC00975, cas9_maka_4_II, 6.5e-110, 0.841, 0.82"
9,NZ_CANCVZ010000004.1,cbass_type_IIs,WP_283574314.1,PDLC00687,Effector_00025,Effector,1.5999999999999998e-65,1.7999999999999997e-65,0.973,0.965,167036,167920,-,-,24,33,"PDLC00687,Effector_00025, 1, 1.8e-65, 0.973, 0.965 | PDLC00701,Effector_00039, 1, 9.3e-09, 0.895, 0.901 | PDLC00672,Effector_00010, 1, 3e-22, 0.459, 0.476","PDLC00687, Effector_00025, 1.8e-65, 0.973, 0.965 | PDLC00672, Effector_00010, 3e-22, 0.459, 0.476 | PDLC00701, Effector_00039, 9.3e-09, 0.895, 0.901"
8,NZ_CANCVZ010000004.1,cas_type_II-A,WP_283574314.1,PDLC02015,SAVED7--SAVED_TM_SAVED7--SAVED_TM,SAVED7--SAVED_TM,3.9e-40,4.2999999999999995e-40,0.969,0.981,167036,167920,-,-,24,33,"PDLC02015,SAVED7--SAVED_TM_SAVED7--SAVED_TM, 1, 4.3e-40, 0.969, 0.981","PDLC02015, SAVED7--SAVED_TM_SAVED7--SAVED_TM, 4.3e-40, 0.969, 0.981"
9,NZ_CANCVZ010000004.1,cbass_type_IIs,WP_283574315.1,PDLC00863,E2_00006,E2,1.5e-25,1.8e-25,0.803,0.718,167920,168333,-,-,25,33,"PDLC00864,E2_00007, 1, 3.5e-25, 0.883, 0.778 | PDLC00876,E2_00019, 1, 4.8e-19, 0.737, 0.595 | PDLC00816,Cyclase_00056, 1, 3.6e-10, 0.803, 0.186 | PDLC00858,E2_00001, 1, 2.9e-13, 0.796, 0.655 | PDLC00877,E2_00020, 1, 1.3e-16, 0.693, 0.653 | PDLC00863,E2_00006, 1, 1.8e-25, 0.803, 0.718 | PDLC00862,E2_00005, 1, 4.3e-16, 0.737, 0.613 | PDLC00866,E2_00009, 1, 97, 0.08, 0.134 | PDLC00866,E2_00009, 2, 9.9e-21, 0.46, 0.744 | PDLC00873,E2_00016, 1, 4.3e-17, 0.723, 0.855","PDLC00863, E2_00006, 1.8e-25, 0.803, 0.718 | PDLC00864, E2_00007, 3.5e-25, 0.883, 0.778 | PDLC00866, E2_00009, 9.9e-21, 0.46, 0.744 | PDLC00876, E2_00019, 4.8e-19, 0.737, 0.595 | PDLC00873, E2_00016, 4.3e-17, 0.723, 0.855"
9,NZ_CANCVZ010000004.1,cbass_type_IIs,WP_283574316.1,PDLC00780,Cyclase_00020,Cyclase,8.599999999999998e-99,9.399999999999997e-99,0.981,0.974,168335,169441,-,-,26,33,"PDLC00817,Cyclase_00057, 1, 6.3e-11, 0.212, 0.189 | PDLC00817,Cyclase_00057, 2, 8.3e-15, 0.465, 0.444 | PDLC00824,Cyclase_00064, 1, 2.6e-08, 0.302, 0.264 | PDLC00824,Cyclase_00064, 2, 0.00018, 0.22, 0.174 | PDLC00805,Cyclase_00045, 1, 3.4e-06, 0.432, 0.513 | PDLC00773,Cyclase_00013, 1, 1e-08, 0.361, 0.404 | PDLC00773,Cyclase_00013, 2, 0.38, 0.304, 0.329 | PDLC00816,Cyclase_00056, 1, 6.6e-45, 0.924, 0.67 | PDLC00774,Cyclase_00014, 1, 3.7e-19, 0.837, 0.861 | PDLC00822,Cyclase_00062, 1, 9.2e-09, 0.38, 0.373 | PDLC00822,Cyclase_00062, 2, 8, 0.272, 0.261 | PDLC00783,Cyclase_00023, 1, 4.1e-06, 0.72, 0.725 | PDLC00820,Cyclase_00060, 1, 4.9e-05, 0.356, 0.41 | PDLC00820,Cyclase_00060, 2, 19, 0.098, 0.111 | PDLC00820,Cyclase_00060, 3, 5.5, 0.136, 0.151 | PDLC00797,Cyclase_00037, 1, 3.3e-27, 0.848, 0.827 | PDLC00803,Cyclase_00043, 1, 1.3e-06, 0.334, 0.451 | PDLC00803,Cyclase_00043, 2, 0.5, 0.223, 0.289 | PDLC00787,Cyclase_00027, 1, 1.1e-18, 0.405, 0.45 | PDLC00787,Cyclase_00027, 2, 4.1e-05, 0.329, 0.369 | PDLC00770,Cyclase_00010, 1, 7.4e-74, 0.899, 0.703 | PDLC00808,Cyclase_00048, 1, 1.7e-07, 0.304, 0.354 | PDLC00808,Cyclase_00048, 2, 3.8, 0.177, 0.222 | PDLC00795,Cyclase_00035, 1, 3.6e-14, 0.848, 0.903 | PDLC00799,Cyclase_00039, 1, 3.7e-12, 0.652, 0.497 | PDLC00813,Cyclase_00053, 1, 0.0011, 0.193, 0.182 | PDLC00813,Cyclase_00053, 2, 1.9e-07, 0.386, 0.343 | PDLC00823,Cyclase_00063, 1, 2.3e-10, 0.413, 0.505 | PDLC00780,Cyclase_00020, 1, 9.4e-99, 0.981, 0.974 | PDLC00815,Cyclase_00055, 1, 9.8e-53, 0.918, 0.893 | PDLC00778,Cyclase_00018, 1, 4.9e-09, 0.707, 0.508 | PDLC00811,Cyclase_00051, 1, 1.1e-08, 0.304, 0.255 | PDLC00811,Cyclase_00051, 2, 1.4e-13, 0.312, 0.293 | PDLC00801,Cyclase_00041, 1, 0.00032, 0.168, 0.193 | PDLC00801,Cyclase_00041, 2, 30, 0.068, 0.085 | PDLC00801,Cyclase_00041, 3, 46, 0.054, 0.068 | PDLC00776,Cyclase_00016, 1, 0.00017, 0.41, 0.502 | PDLC00793,Cyclase_00033, 1, 1.4e-19, 0.405, 0.32 | PDLC00793,Cyclase_00033, 2, 1.3e-05, 0.302, 0.238 | PDLC00798,Cyclase_00038, 1, 6.5e-19, 0.416, 0.442 | PDLC00798,Cyclase_00038, 2, 3.5e-09, 0.473, 0.503 | PDLC00800,Cyclase_00040, 1, 5.9e-16, 0.421, 0.395 | PDLC00800,Cyclase_00040, 2, 4.1e-18, 0.405, 0.362","PDLC00780, Cyclase_00020, 9.4e-99, 0.981, 0.974 | PDLC00770, Cyclase_00010, 7.4e-74, 0.899, 0.703 | PDLC00815, Cyclase_00055, 9.8e-53, 0.918, 0.893 | PDLC00816, Cyclase_00056, 6.6e-45, 0.924, 0.67 | PDLC00797, Cyclase_00037, 3.3e-27, 0.848, 0.827"
10,NZ_CANCVZ010000004.1,ietAS,WP_283574317.1,PDLC02197,IetS_00001,IetS,6.799999999999999e-68,1.1999999999999998e-67,0.633,0.672,169459,171690,-,-,27,33,"PDLC02199,IetS_00003, 1, 6.5, 0.085, 0.076 | PDLC02199,IetS_00003, 2, 1.8e-42, 0.63, 0.631 | PDLC04234,IetS_WP_029409085.1, 1, 39, 0.066, 0.076 | PDLC04234,IetS_WP_029409085.1, 2, 8.5e-06, 0.066, 0.075 | PDLC04234,IetS_WP_029409085.1, 3, 0.18, 0.03, 0.034 | PDLC02202,IetS_00006, 1, 1.4e-36, 0.587, 0.585 | PDLC02201,IetS_00005, 1, 3.9e-52, 0.498, 0.517 | PDLC02197,IetS_00001, 1, 1.2e-67, 0.633, 0.672 | PDLC02200,IetS_00004, 1, 8.9e-35, 0.619, 0.651 | PDLC04233,IetS_WP_226782225.1, 1, 0.0087, 0.081, 0.071 | PDLC04233,IetS_WP_226782225.1, 2, 2e-07, 0.07, 0.061 | PDLC04233,IetS_WP_226782225.1, 3, 0.00096, 0.042, 0.036 | PDLC04233,IetS_WP_226782225.1, 4, 40, 0.034, 0.029 | PDLC04233,IetS_WP_226782225.1, 5, 3.4, 0.225, 0.171 | PDLC02198,IetS_00002, 1, 1e-04, 0.141, 0.14 | PDLC02198,IetS_00002, 2, 0.011, 0.055, 0.053 | PDLC02198,IetS_00002, 3, 7.4, 0.1, 0.097","PDLC02197, IetS_00001, 1.2e-67, 0.633, 0.672 | PDLC02201, IetS_00005, 3.9e-52, 0.498, 0.517 | PDLC02199, IetS_00003, 1.8e-42, 0.63, 0.631 | PDLC02202, IetS_00006, 1.4e-36, 0.587, 0.585 | PDLC02200, IetS_00004, 8.9e-35, 0.619, 0.651"
10,NZ_CANCVZ010000004.1,ietAS,WP_283574318.1,PDLC02196,IetA_00002,IetA,1.3e-36,3.3e-34,0.67,0.671,171687,172736,-,-,28,33,"PDLC04232,IetA_WP_225151863.1, 1, 3.6e-29, 0.668, 0.742 | PDLC02195,IetA_00001, 1, 16, 0.115, 0.101 | PDLC02195,IetA_00001, 2, 2.3e-27, 0.39, 0.334 | PDLC02195,IetA_00001, 3, 6.9, 0.074, 0.066 | PDLC02196,IetA_00002, 1, 3.3e-34, 0.67, 0.671 | PDLC02196,IetA_00002, 2, 4, 0.089, 0.083 | PDLC04231,IetA_WP_229193352.1, 1, 48, 0.08, 0.107 | PDLC04231,IetA_WP_229193352.1, 2, 4.5e-18, 0.484, 0.649","PDLC02196, IetA_00002, 3.3e-34, 0.67, 0.671 | PDLC04232, IetA_WP_225151863.1, 3.6e-29, 0.668, 0.742 | PDLC02195, IetA_00001, 2.3e-27, 0.39, 0.334 | PDLC04231, IetA_WP_229193352.1, 4.5e-18, 0.484, 0.649"
7,NZ_CANCVZ010000004.1,PDC-S16,WP_283574319.1,PDLC04941,PDC-S16_WP_008858743.1,PDC-S16,8.1e-27,9.600000000000002e-27,0.873,0.933,172995,173234,+,-,29,33,"PDLC04941,PDC-S16_WP_008858743.1, 1, 9.6e-27, 0.873, 0.933 | PDLC04942,PDC-S16_WP_183323738.1, 1, 2.3e-25, 0.873, 0.933","PDLC04941, PDC-S16_WP_008858743.1, 9.6e-27, 0.873, 0.933 | PDLC04942, PDC-S16_WP_183323738.1, 2.3e-25, 0.873, 0.933"
11,NZ_CBZV010000050.1,cas_type_II-A,WP_081011476.1,PDLC01380,cd12218,Csn2,2.9e-28,3.1e-28,0.968,0.406,1,280,-,-,1,4,"PDLC02127,Csn2_WP_092199373.1, 1, 0.00028, 0.419, 0.177 | PDLC01023,cas_Csn2, 1, 3.8e-12, 0.925, 0.405 | PDLC01380,cd12218, 1, 3.1e-28, 0.968, 0.406 | PDLC02123,Csn2_WP_164905698.1, 1, 5.3e-28, 0.978, 0.41 | PDLC02132,Csn2_WP_007147955.1, 1, 3.1e-05, 0.892, 0.368 | PDLC01257,cd09644, 1, 3.8e-05, 0.935, 0.394 | PDLC02119,Csn2_WP_115483433.1, 1, 8.6e-06, 0.935, 0.394 | PDLC02124,Csn2_WP_017261328.1, 1, 2.6e-15, 0.968, 0.398","PDLC01380, cd12218, 3.1e-28, 0.968, 0.406 | PDLC02123, Csn2_WP_164905698.1, 5.3e-28, 0.978, 0.41 | PDLC02124, Csn2_WP_017261328.1, 2.6e-15, 0.968, 0.398 | PDLC01023, cas_Csn2, 3.8e-12, 0.925, 0.405 | PDLC02119, Csn2_WP_115483433.1, 8.6e-06, 0.935, 0.394"
11,NZ_CBZV010000050.1,cas_type_II-A,WP_021816721.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,3.1e-44,3.3e-44,0.98,0.701,277,582,-,-,2,4,"PDLC02071,Cas2_II_WP_086428212.1, 1, 1.1e-29, 0.921, 0.969 | PDLC02073,Cas2_II_WP_029776276.1, 1, 2.1e-25, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 3.3e-44, 0.98, 0.701 | PDLC02072,Cas2_II_WP_038817100.1, 1, 2.9e-31, 0.644, 0.903 | PDLC02069,Cas2_II_WP_178005650.1, 1, 2.7e-30, 0.901, 0.7","PDLC02068, Cas2_II_WP_167337171.1, 3.3e-44, 0.98, 0.701 | PDLC02072, Cas2_II_WP_038817100.1, 2.9e-31, 0.644, 0.903 | PDLC02069, Cas2_II_WP_178005650.1, 2.7e-30, 0.901, 0.7 | PDLC02071, Cas2_II_WP_086428212.1, 1.1e-29, 0.921, 0.969 | PDLC02073, Cas2_II_WP_029776276.1, 2.1e-25, 0.416, 0.857"
11,NZ_CBZV010000050.1,cas_type_II-A,WP_057195462.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,6.799999999999998e-96,7.499999999999997e-96,0.967,0.836,560,1465,-,-,3,4,"PDLC02062,Cas1_II_WP_122951193.1, 1, 7.9e-19, 0.688, 0.722 | PDLC02061,Cas1_II_WP_078484493.1, 1, 7.5e-96, 0.967, 0.836","PDLC02061, Cas1_II_WP_078484493.1, 7.5e-96, 0.967, 0.836 | PDLC02062, Cas1_II_WP_122951193.1, 7.9e-19, 0.688, 0.722"
11,NZ_CBZV010000050.1,cas_type_II-A,WP_081011477.1,PDLC01580,mkCas0193,Cas9,0,0,0.999,0.61,1673,4203,-,-,4,4,"PDLC00975,cas9_maka_4_II, 1, 5.7e-76, 0.599, 0.418 | PDLC01460,COG3513, 1, 9e-94, 0.729, 0.58 | PDLC01580,mkCas0193, 1, 0, 0.999, 0.61 | PDLC00973,cas_Csn1, 1, 1.5e-116, 0.603, 0.64 | PDLC01104,icity0002, 1, 9e-04, 0.359, 0.161 | PDLC01256,cd09643, 1, 1.3e-110, 0.603, 0.672","PDLC01580, mkCas0193, 0, 0.999, 0.61 | PDLC00973, cas_Csn1, 1.5e-116, 0.603, 0.64 | PDLC01256, cd09643, 1.3e-110, 0.603, 0.672 | PDLC01460, COG3513, 9e-94, 0.729, 0.58 | PDLC00975, cas9_maka_4_II, 5.7e-76, 0.599, 0.418"
13,NZ_CP016803.1,cas_type_other,WP_236945437.1,PDLC01039,shah_acc_0023,Csx1,2.7000000000000004e-26,3.9000000000000004e-26,0.834,0.8,265925,267118,+,-,12,34,"PDLC01232,Type_V_Cas12a_var, 1, 0.52, 0.091, 0.038 | PDLC01232,Type_V_Cas12a_var, 2, 2.1e-05, 0.121, 0.044 | PDLC01692,V_U1, 1, 9.3e-07, 0.219, 0.154 | PDLC01698,V_U2, 1, 1.1e-10, 0.554, 0.526 | PDLC01039,shah_acc_0023, 1, 3.9e-26, 0.834, 0.8 | PDLC01672,Cas14a, 1, 5.5e-12, 0.547, 0.469 | PDLC01678,Type_V_Cas14c, 1, 39, 0.073, 0.082 | PDLC01678,Type_V_Cas14c, 2, 2.6e-07, 0.539, 0.537 | PDLC01677,Type_V_Cas14b, 1, 60, 0.088, 0.049 | PDLC01677,Type_V_Cas14b, 2, 8.8e-19, 0.481, 0.385 | PDLC00930,Type_V_V_U1, 1, 1.2e-07, 0.219, 0.152 | PDLC01690,Cas14h, 1, 4.4e-10, 0.534, 0.48 | PDLC01701,Cas12g, 1, 2.9e-06, 0.383, 0.223 | PDLC01673,Cas14b, 1, 3.9e-19, 0.486, 0.387 | PDLC01674,Cas14c, 1, 39, 0.073, 0.082 | PDLC01674,Cas14c, 2, 2.6e-07, 0.539, 0.537 | PDLC01699,V_U3, 1, 1.2e-38, 0.866, 0.857 | PDLC01657,Type_V_Cas12b, 1, 11, 0.176, 0.045 | PDLC01657,Type_V_Cas12b, 2, 5.1e-05, 0.161, 0.061 | PDLC01691,Cas14u, 1, 1.7e-37, 0.831, 0.837 | PDLC00932,Type_V_V_U3, 1, 3.6e-41, 0.864, 0.809 | PDLC00933,Type_V_V_U4, 1, 2.5e-13, 0.524, 0.453 | PDLC00931,Type_V_V_U2, 1, 9.7e-16, 0.569, 0.524 | PDLC01700,V_U4, 1, 4.7e-14, 0.594, 0.544 | PDLC01230,Cas12a_var, 1, 1.3, 0.063, 0.027 | PDLC01230,Cas12a_var, 2, 3.3e-06, 0.118, 0.046","PDLC00932, Type_V_V_U3, 3.6e-41, 0.864, 0.809 | PDLC01699, V_U3, 1.2e-38, 0.866, 0.857 | PDLC01691, Cas14u, 1.7e-37, 0.831, 0.837 | PDLC01039, shah_acc_0023, 3.9e-26, 0.834, 0.8 | PDLC01673, Cas14b, 3.9e-19, 0.486, 0.387"
12,NZ_CP016803.1,cas_type_II-A,WP_123799340.1,PDLC01380,cd12218,Csn2,3.9999999999999994e-79,4.4999999999999997e-79,0.982,0.995,270310,270981,-,-,15,34,"PDLC02127,Csn2_WP_092199373.1, 1, 1.6e-07, 0.982, 0.991 | PDLC01023,cas_Csn2, 1, 1.2e-38, 0.982, 0.995 | PDLC01380,cd12218, 1, 4.5e-79, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 1.8e-77, 0.991, 0.995 | PDLC02138,Csn2_WP_178467070.1, 1, 0.0061, 0.892, 0.882 | PDLC02132,Csn2_WP_007147955.1, 1, 1.8e-20, 0.969, 0.964 | PDLC01371,cd09758, 1, 8.6e-08, 0.937, 0.927 | PDLC02139,Csn2_WP_057888294.1, 1, 7.5e-08, 0.731, 0.695 | PDLC01257,cd09644, 1, 3.1e-12, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 7.6e-17, 0.982, 0.977 | PDLC02137,Csn2_WP_092874919.1, 1, 0.0015, 0.969, 0.977 | PDLC02147,Csn2_WP_022791452.1, 1, 5.7e-07, 0.928, 0.919 | PDLC02119,Csn2_WP_115483433.1, 1, 1.2e-17, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 1.2e-44, 0.996, 0.995 | PDLC01180,icity0117, 1, 5.2e-06, 0.892, 0.892 | PDLC01648,pfam09711, 1, 2.2e-07, 0.794, 0.966 | PDLC02121,Csn2_WP_159082072.1, 1, 7.3e-09, 0.937, 0.927","PDLC01380, cd12218, 4.5e-79, 0.982, 0.995 | PDLC02123, Csn2_WP_164905698.1, 1.8e-77, 0.991, 0.995 | PDLC02124, Csn2_WP_017261328.1, 1.2e-44, 0.996, 0.995 | PDLC01023, cas_Csn2, 1.2e-38, 0.982, 0.995 | PDLC02132, Csn2_WP_007147955.1, 1.8e-20, 0.969, 0.964"
12,NZ_CP016803.1,cas_type_II-A,WP_003685065.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,5.2e-44,5.6e-44,0.98,0.701,270978,271283,-,-,16,34,"PDLC02071,Cas2_II_WP_086428212.1, 1, 1.4e-29, 0.921, 0.969 | PDLC02073,Cas2_II_WP_029776276.1, 1, 2.1e-25, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 5.6e-44, 0.98, 0.701 | PDLC02072,Cas2_II_WP_038817100.1, 1, 3e-31, 0.634, 0.889 | PDLC02069,Cas2_II_WP_178005650.1, 1, 4e-30, 0.861, 0.669","PDLC02068, Cas2_II_WP_167337171.1, 5.6e-44, 0.98, 0.701 | PDLC02072, Cas2_II_WP_038817100.1, 3e-31, 0.634, 0.889 | PDLC02069, Cas2_II_WP_178005650.1, 4e-30, 0.861, 0.669 | PDLC02071, Cas2_II_WP_086428212.1, 1.4e-29, 0.921, 0.969 | PDLC02073, Cas2_II_WP_029776276.1, 2.1e-25, 0.416, 0.857"
12,NZ_CP016803.1,cas_type_II-A,WP_123799342.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,6.699999999999999e-90,7.299999999999998e-90,0.964,0.779,271261,272106,-,-,17,34,"PDLC02062,Cas1_II_WP_122951193.1, 1, 1.7e-17, 0.719, 0.707 | PDLC02061,Cas1_II_WP_078484493.1, 1, 7.3e-90, 0.964, 0.779","PDLC02061, Cas1_II_WP_078484493.1, 7.3e-90, 0.964, 0.779 | PDLC02062, Cas1_II_WP_122951193.1, 1.7e-17, 0.719, 0.707"
12,NZ_CP016803.1,cas_type_II-A,WP_236945423.1,PDLC01580,mkCas0193,Cas9,0,0,0.997,0.872,273713,277288,-,-,19,34,"PDLC00975,cas9_maka_4_II, 1, 1.3e-96, 0.588, 0.551 | PDLC01460,COG3513, 1, 8.8, 0.034, 0.043 | PDLC01460,COG3513, 2, 2.8e-112, 0.781, 0.787 | PDLC01580,mkCas0193, 1, 0, 0.997, 0.872 | PDLC00973,cas_Csn1, 1, 23, 0.068, 0.082 | PDLC00973,cas_Csn1, 2, 2.2e-146, 0.594, 0.79 | PDLC01104,icity0002, 1, 5.6e-07, 0.809, 0.523 | PDLC01256,cd09643, 1, 1.7e-130, 0.661, 0.812","PDLC01580, mkCas0193, 0, 0.997, 0.872 | PDLC00973, cas_Csn1, 2.2e-146, 0.594, 0.79 | PDLC01256, cd09643, 1.7e-130, 0.661, 0.812 | PDLC01460, COG3513, 2.8e-112, 0.781, 0.787 | PDLC00975, cas9_maka_4_II, 1.3e-96, 0.588, 0.551"
14,NZ_CP065318.1,cas_type_II-A,WP_065533057.1,PDLC01580,mkCas0193,Cas9,0,0,0.996,0.998,1880486,1884634,+,-,23,39,"PDLC00975,cas9_maka_4_II, 1, 8.1e-122, 0.845, 0.845 | PDLC01460,COG3513, 1, 1.4e-137, 0.939, 0.959 | PDLC01580,mkCas0193, 1, 0, 0.996, 0.998 | PDLC00973,cas_Csn1, 1, 9.9e-176, 0.741, 0.982 | PDLC01256,cd09643, 1, 8.7e-160, 0.742, 0.994 | PDLC01256,cd09643, 2, 1.9, 0.102, 0.156","PDLC01580, mkCas0193, 0, 0.996, 0.998 | PDLC00973, cas_Csn1, 9.9e-176, 0.741, 0.982 | PDLC01256, cd09643, 8.7e-160, 0.742, 0.994 | PDLC01460, COG3513, 1.4e-137, 0.939, 0.959 | PDLC00975, cas9_maka_4_II, 8.1e-122, 0.845, 0.845"
14,NZ_CP065318.1,cas_type_II-A,WP_019253826.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,5.2999999999999994e-105,5.799999999999999e-105,0.97,0.839,1884848,1885756,+,-,24,39,"PDLC02062,Cas1_II_WP_122951193.1, 1, 2e-20, 0.868, 0.852 | PDLC02061,Cas1_II_WP_078484493.1, 1, 5.8e-105, 0.97, 0.839","PDLC02061, Cas1_II_WP_078484493.1, 5.8e-105, 0.97, 0.839 | PDLC02062, Cas1_II_WP_122951193.1, 2e-20, 0.868, 0.852"
15,NZ_CP065318.1,cas_type_V,WP_019253826.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,5.2999999999999994e-105,5.799999999999999e-105,0.97,0.839,1884848,1885756,+,-,24,39,"PDLC02025,Cas1d_Cas1d, 1, 2.6e-18, 0.715, 0.715 | PDLC02062,Cas1_II_WP_122951193.1, 1, 2e-20, 0.868, 0.852 | PDLC01747,Cas1g_WP_005511840.1, 1, 3.1e-20, 0.719, 0.447 | PDLC02066,Cas1b_WP_035727688.1, 1, 0.0065, 0.354, 0.329 | PDLC02066,Cas1b_WP_035727688.1, 2, 5.4e-14, 0.467, 0.45 | PDLC02063,Cas1_IIIb_Cas1_IIIb, 1, 2.1e-18, 0.732, 0.374 | PDLC01745,Cas1e_WP_120372217.1, 1, 0.0023, 0.629, 0.625 | PDLC01249,cd09636, 1, 1.5e-30, 0.735, 0.939 | PDLC01449,COG1518, 1, 2.4e-46, 0.897, 0.972 | PDLC01743,Cas1c_WP_008519397.1, 1, 2.5e-14, 0.719, 0.709 | PDLC01743,Cas1c_WP_008519397.1, 2, 53, 0.073, 0.065 | PDLC02064,Cas1a_Cas1a, 1, 5.8e-19, 0.781, 0.801 | PDLC02067,Cas1b_WP_188882336.1, 1, 0.32, 0.189, 0.107 | PDLC02067,Cas1b_WP_188882336.1, 2, 1.2e-08, 0.222, 0.128 | PDLC01744,Cas1e_WP_035839043.1, 1, 0.021, 0.205, 0.199 | PDLC01744,Cas1e_WP_035839043.1, 2, 2.5, 0.109, 0.108 | PDLC01744,Cas1e_WP_035839043.1, 3, 0.0045, 0.142, 0.141 | PDLC01741,Cas1_IIIa_WP_000655858.1, 1, 2.8e-44, 0.825, 0.847 | PDLC01335,cd09722, 1, 6.9e-11, 0.719, 0.724 | PDLC00928,cas1_I_II_III_V_maka, 1, 1.9e-39, 0.742, 0.771 | PDLC01332,cd09719, 1, 0.019, 0.212, 0.241 | PDLC01332,cd09719, 2, 12, 0.106, 0.123 | PDLC01332,cd09719, 3, 5.4e-05, 0.146, 0.169 | PDLC00927,cas1, 1, 1.6e-29, 0.742, 0.765 | PDLC01742,Cas1b_WP_142933338.1, 1, 2.9e-08, 0.725, 0.721 | PDLC01248,cd09634, 1, 1.5e-48, 0.897, 0.986 | PDLC00929,cas1_PREFRAN, 1, 2.7e-17, 0.841, 0.842 | PDLC01334,cd09721, 1, 0.00013, 0.374, 0.333 | PDLC01334,cd09721, 2, 6.7e-09, 0.205, 0.185 | PDLC00926,cas1_NMENI, 1, 8.3e-84, 0.887, 0.989 | PDLC01333,cd09720, 1, 7.3e-86, 0.887, 0.993 | PDLC02065,Cas1b_WP_013704840.1, 1, 1.9e-05, 0.675, 0.675 | PDLC02065,Cas1b_WP_013704840.1, 2, 33, 0.07, 0.064 | PDLC01608,pfam01867, 1, 2.5e-28, 0.742, 0.866 | PDLC00922,cas1_MYXAN, 1, 0.74, 0.175, 0.153 | PDLC00922,cas1_MYXAN, 2, 1.4e-08, 0.209, 0.184 | PDLC02061,Cas1_II_WP_078484493.1, 1, 5.8e-105, 0.97, 0.839 | PDLC00923,cas1_DVULG, 1, 0.00013, 0.377, 0.335 | PDLC00923,cas1_DVULG, 2, 9.7e-09, 0.205, 0.182 | PDLC01740,Cas1_IIIa_WP_158094482.1, 1, 8.9e-18, 0.728, 0.716 | PDLC00924,cas1_ECOLI, 1, 0.12, 0.209, 0.234 | PDLC00924,cas1_ECOLI, 2, 8.6, 0.109, 0.123 | PDLC00924,cas1_ECOLI, 3, 5.3e-05, 0.146, 0.164","PDLC02061, Cas1_II_WP_078484493.1, 5.8e-105, 0.97, 0.839 | PDLC01333, cd09720, 7.3e-86, 0.887, 0.993 | PDLC00926, cas1_NMENI, 8.3e-84, 0.887, 0.989 | PDLC01248, cd09634, 1.5e-48, 0.897, 0.986 | PDLC01449, COG1518, 2.4e-46, 0.897, 0.972"
14,NZ_CP065318.1,cas_type_II-A,WP_019253825.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,7.2e-44,7.6e-44,0.911,0.657,1885734,1886039,+,-,25,39,"PDLC02071,Cas2_II_WP_086428212.1, 1, 9.8e-32, 0.921, 0.959 | PDLC02073,Cas2_II_WP_029776276.1, 1, 5.2e-26, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 7.6e-44, 0.911, 0.657 | PDLC02072,Cas2_II_WP_038817100.1, 1, 2.8e-32, 0.653, 0.917 | PDLC02069,Cas2_II_WP_178005650.1, 1, 5.3e-32, 0.871, 0.677","PDLC02068, Cas2_II_WP_167337171.1, 7.6e-44, 0.911, 0.657 | PDLC02072, Cas2_II_WP_038817100.1, 2.8e-32, 0.653, 0.917 | PDLC02069, Cas2_II_WP_178005650.1, 5.3e-32, 0.871, 0.677 | PDLC02071, Cas2_II_WP_086428212.1, 9.8e-32, 0.921, 0.959 | PDLC02073, Cas2_II_WP_029776276.1, 5.2e-26, 0.416, 0.857"
