id,target_prot,seqid,fam_cluster,padloc_system,padloc_gene,deffinder_system,deffinder_gene,start,end,rel_start,rel_end,strand,flip_strand,product,locus_tag,assembly_accession,species_taxid,kingdom,phylum,class,order,family,genus,species,linecolor,fillcolor
WP_185910605.1,WP_185910605.1,NZ_CABFNH010000025.1,0,cas_type_II-A,Cas9,CAS_Class2-Subtype-II-A,cas9_II-A_1,19577,23764,0,4187,+,+,type II CRISPR RNA-guided endonuclease Cas9,LMUP508_RS07570,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[0, 0, 0, 255]","[201.36333332764525, 89.32648283598287, 69.03443619229839, 255]"
WP_143113257.1,WP_185910605.1,NZ_CABFNH010000025.1,1,cas_type_II-A,Cas1_II,CAS_Class2-Subtype-II-A,cas1_I_II_III_IV_V_VI_5,23971,24876,4394,5299,+,+,type II CRISPR-associated endonuclease Cas1,LMUP508_RS07575,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[0, 0, 0, 255]","[204.49667191062449, 99.6717190113312, 75.89646796575155, 255]"
WP_128512894.1,WP_185910605.1,NZ_CABFNH010000025.1,3,cas_type_II-A,Cas2_II,CAS_Class2-Subtype-II-A,cas2_I_II_III_IV_V_VI_11,24854,25159,5277,5582,+,+,CRISPR-associated endonuclease Cas2,LMUP508_RS07580,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[0, 0, 0, 255]","[100.62703781392865, 30.29656754082209, 179.51542666149774, 255]"
WP_143113258.1,WP_185910605.1,NZ_CABFNH010000025.1,2,cas_type_II-A,Csn2,CAS_Class2-Subtype-II-A,csn2_II-A_6,25156,25827,5579,6250,+,+,type II-A CRISPR-associated protein Csn2,LMUP508_RS07585,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[0, 0, 0, 255]","[156.6936756617153, 236.12111077786028, 193.0341998905749, 255]"
WP_081011476.1,WP_081011477.1,NZ_CBZV010000050.1,2,cas_type_II-A,Csn2,CAS_Class2-Subtype-II-A,csn2_II-A_6,1,280,3923,4202,-,+,type II-A CRISPR-associated protein Csn2,LFER_RS09520,GCF_001368755.1,1613,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,"[0, 0, 0, 255]","[156.6936756617153, 236.12111077786028, 193.0341998905749, 255]"
WP_021816721.1,WP_081011477.1,NZ_CBZV010000050.1,3,cas_type_II-A,Cas2_II,CAS_Class2-Subtype-II-A,cas2_I_II_III_IV_V_VI_11,277,582,3621,3926,-,+,CRISPR-associated endonuclease Cas2,LFER_RS09525,GCF_001368755.1,1613,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,"[0, 0, 0, 255]","[100.62703781392865, 30.29656754082209, 179.51542666149774, 255]"
WP_057195462.1,WP_081011477.1,NZ_CBZV010000050.1,1,cas_type_II-A,Cas1_II,CAS_Class2-Subtype-II-A,cas1_I_II_III_IV_V_VI_5,560,1465,2738,3643,-,+,type II CRISPR-associated endonuclease Cas1,LFER_RS09530,GCF_001368755.1,1613,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,"[0, 0, 0, 255]","[204.49667191062449, 99.6717190113312, 75.89646796575155, 255]"
WP_081011477.1,WP_081011477.1,NZ_CBZV010000050.1,0,cas_type_II-A,Cas9,CAS_Class2-Subtype-II-A,cas9_II-A_1,1673,4203,0,2530,-,+,type II CRISPR RNA-guided endonuclease Cas9,LFER_RS09535,GCF_001368755.1,1613,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,"[0, 0, 0, 255]","[201.36333332764525, 89.32648283598287, 69.03443619229839, 255]"
WP_225209026.1,WP_191668167.1,NZ_QORN01000023.1,,,,,,7714,8382,21365,22033,-,+,YSIRK-type signal peptide-containing protein,DTK66_RS06595,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_191668156.1,WP_191668167.1,NZ_QORN01000023.1,,,,,,9136,10803,18944,20611,-,+,FAD-dependent oxidoreductase,DTK66_RS06600,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_153931409.1,WP_191668167.1,NZ_QORN01000023.1,,,,,,10817,11380,18367,18930,-,+,alkyl hydroperoxide reductase subunit C,DTK66_RS06605,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_153931408.1,WP_191668167.1,NZ_QORN01000023.1,,,,,,11483,12364,17383,18264,-,+,L-serine ammonia-lyase%2C iron-sulfur-dependent%2C subunit alpha,DTK66_RS06610,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_191668157.1,WP_191668167.1,NZ_QORN01000023.1,36,,,,,12382,13044,16703,17365,-,+,L-serine ammonia-lyase%2C iron-sulfur-dependent subunit beta,DTK66_RS06615,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[98.0739930492313, 114.55660263628313, 86.53823126538995, 255]","[196.1479860984626, 229.11320527256626, 173.0764625307799, 255]"
WP_153931406.1,WP_191668167.1,NZ_QORN01000023.1,35,,,,,13113,13805,15942,16634,-,+,hypothetical protein,DTK66_RS06620,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[30.293956076163173, 73.00362722706231, 97.19527031321589, 255]","[60.587912152326346, 146.00725445412462, 194.39054062643177, 255]"
WP_003667006.1,WP_191668167.1,NZ_QORN01000023.1,33,,,,,14004,14273,15474,15743,-,+,30S ribosomal protein S14,DTK66_RS06625,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[107.04486951414023, 106.28717264221196, 78.5140934578133, 255]","[214.08973902828046, 212.5743452844239, 157.0281869156266, 255]"
WP_191668159.1,WP_191668167.1,NZ_QORN01000023.1,32,,,,,15426,16661,13086,14321,+,-,MFS transporter,DTK66_RS06635,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[98.2947127096455, 36.77689093569376, 29.322333998038154, 255]","[196.589425419291, 73.55378187138751, 58.64466799607631, 255]"
WP_153930105.1,WP_191668167.1,NZ_QORN01000023.1,52,,,,,16683,17384,12363,13064,+,-,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE,DTK66_RS06640,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[103.49992569223029, 110.20463266612958, 82.02056923228906, 255]","[206.99985138446058, 220.40926533225917, 164.04113846457813, 255]"
WP_191668160.1,WP_191668167.1,NZ_QORN01000023.1,53,,,,,17478,18377,11370,12269,-,+,prenyltransferase,DTK66_RS06645,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[39.86660457515328, 94.0267515175557, 99.15479154803802, 255]","[79.73320915030656, 188.0535030351114, 198.30958309607604, 255]"
WP_191668161.1,WP_191668167.1,NZ_QORN01000023.1,54,,,,,18458,19438,10309,11289,+,-,polyprenyl synthetase family protein,DTK66_RS06650,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[98.0739930492313, 114.55660263628313, 86.53823126538995, 255]","[196.1479860984626, 229.11320527256626, 173.0764625307799, 255]"
WP_191668162.1,WP_191668167.1,NZ_QORN01000023.1,56,,,,,19506,21428,8319,10241,-,+,PTS sugar transporter subunit IIA,DTK66_RS06655,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[104.55244780639748, 57.436537618049805, 43.03462603244576, 255]","[209.10489561279496, 114.87307523609961, 86.06925206489151, 255]"
WP_191668163.1,WP_191668167.1,NZ_QORN01000023.1,57,,,,,21589,22602,7145,8158,-,+,LacI family DNA-binding transcriptional regulator,DTK66_RS06660,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[113.55458853929483, 96.45516768831553, 70.71994173459358, 255]","[227.10917707858965, 192.91033537663105, 141.43988346918715, 255]"
WP_191668164.1,WP_191668167.1,NZ_QORN01000023.1,2,cas_type_II-A,Csn2,CAS_Class2-Subtype-II-A,csn2_II-A_6,23557,24228,5519,6190,-,+,type II-A CRISPR-associated protein Csn2,DTK66_RS06665,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[0, 0, 0, 255]","[156.6936756617153, 236.12111077786028, 193.0341998905749, 255]"
WP_191668165.1,WP_191668167.1,NZ_QORN01000023.1,3,cas_type_II-A,Cas2_II,CAS_Class2-Subtype-II-A,cas2_I_II_III_IV_V_VI_11,24225,24530,5217,5522,-,+,CRISPR-associated endonuclease Cas2,DTK66_RS06670,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[0, 0, 0, 255]","[100.62703781392865, 30.29656754082209, 179.51542666149774, 255]"
WP_191668166.1,WP_191668167.1,NZ_QORN01000023.1,1,cas_type_II-A,Cas1_II,CAS_Class2-Subtype-II-A,cas1_I_II_III_IV_V_VI_5,24508,25416,4331,5239,-,+,type II CRISPR-associated endonuclease Cas1,DTK66_RS06675,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[0, 0, 0, 255]","[204.49667191062449, 99.6717190113312, 75.89646796575155, 255]"
WP_191668167.1,WP_191668167.1,NZ_QORN01000023.1,0,cas_type_II-A,Cas9,CAS_Class2-Subtype-II-A,cas9_II-A_1,25617,29747,0,4130,-,+,type II CRISPR RNA-guided endonuclease Cas9,DTK66_RS06680,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[0, 0, 0, 255]","[201.36333332764525, 89.32648283598287, 69.03443619229839, 255]"
WP_191668168.1,WP_191668167.1,NZ_QORN01000023.1,59,,,,,29929,30408,-661,-182,+,-,hypothetical protein,DTK66_RS06685,GCF_014830205.1,2268022,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus walteri,"[103.40785518868898, 53.66193329596799, 40.50121437534954, 255]","[206.81571037737797, 107.32386659193598, 81.00242875069908, 255]"
WP_057741338.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,82758,84278,21161,22681,-,+,ABC transporter permease/substrate-binding protein,IV45_RS05250,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741340.1,WP_057741369.1,NZ_JQBW01000010.1,63,,,,,84271,85212,20227,21168,-,+,ABC transporter ATP-binding protein,IV45_RS05255,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[74.73841127245342, 117.16207575902355, 97.52259343983384, 255]","[149.47682254490684, 234.3241515180471, 195.04518687966768, 255]"
WP_057741342.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,85355,85792,19647,20084,+,-,Rrf2 family transcriptional regulator,IV45_RS05260,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741344.1,WP_057741369.1,NZ_JQBW01000010.1,67,,,,,85794,86660,18779,19645,+,-,NmrA family NAD(P)-binding protein,IV45_RS05265,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[56.62136113314165, 107.83390323696727, 99.91652550731254, 255]","[113.2427222662833, 215.66780647393455, 199.83305101462508, 255]"
WP_057741346.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,86715,87248,18191,18724,-,+,GNAT family N-acetyltransferase,IV45_RS05270,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741347.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,87295,88155,17284,18144,-,+,metallophosphoesterase,IV45_RS05275,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741349.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,88174,88770,16669,17265,-,+,uracil-DNA glycosylase family protein,IV45_RS05280,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741351.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,88807,89379,16060,16632,-,+,NADPH-dependent F420 reductase,IV45_RS05285,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741353.1,WP_057741369.1,NZ_JQBW01000010.1,10,,,,,89533,90099,15340,15906,+,-,cadmium resistance transporter,IV45_RS05290,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[35.325083463359285, 61.532460035453816, 96.7070759811814, 255]","[70.65016692671857, 123.06492007090763, 193.4141519623628, 255]"
WP_057741354.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,90115,90438,15001,15324,+,-,metalloregulator ArsR/SmtB family transcription factor,IV45_RS05295,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741356.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,90512,91225,14214,14927,-,+,acetolactate decarboxylase,IV45_RS05300,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741357.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,91238,92914,12525,14201,-,+,acetolactate synthase AlsS,IV45_RS05305,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741359.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,93133,93759,11680,12306,-,+,GyrI-like domain-containing protein,IV45_RS05310,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741360.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,93786,94826,10613,11653,-,+,serine hydrolase domain-containing protein,IV45_RS05315,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741362.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,94984,95202,10237,10455,-,+,hypothetical protein,IV45_RS05320,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741363.1,WP_057741369.1,NZ_JQBW01000010.1,29,,,,,95269,97110,8329,10170,-,+,ABC transporter ATP-binding protein,IV45_RS05325,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[89.09197598769674, 118.18633316023202, 92.15547276793596, 255]","[178.18395197539348, 236.37266632046405, 184.31094553587192, 255]"
WP_057741365.1,WP_057741369.1,NZ_JQBW01000010.1,29,,,,,97103,98872,6567,8336,-,+,ABC transporter ATP-binding protein,IV45_RS05330,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[89.09197598769674, 118.18633316023202, 92.15547276793596, 255]","[178.18395197539348, 236.37266632046405, 184.31094553587192, 255]"
WP_057741367.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,99640,100383,5056,5799,-,+,ion transporter,IV45_RS05335,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_268872323.1,WP_057741369.1,NZ_JQBW01000010.1,,cas_type_other,Csn2,CAS_Class2-Subtype-II-A,csn2_II-A_6,100812,101165,4274,4627,-,+,type II-A CRISPR-associated protein Csn2,IV45_RS07785,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[0, 0, 0, 255]","[230, 230, 230, 255]"
WP_057741369.1,WP_057741369.1,NZ_JQBW01000010.1,0,cas_type_other,Cas9,CAS_Class2-Subtype-II-A,cas9_II-A_1,101342,105439,0,4097,-,+,type II CRISPR RNA-guided endonuclease Cas9,IV45_RS05340,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[0, 0, 0, 255]","[201.36333332764525, 89.32648283598287, 69.03443619229839, 255]"
WP_057741371.1,WP_057741369.1,NZ_JQBW01000010.1,45,,,,,105574,106368,-929,-135,-,+,SDR family oxidoreductase,IV45_RS05345,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[94.60530132662248, 116.43496302934312, 88.95685100963559, 255]","[189.21060265324496, 232.86992605868625, 177.91370201927117, 255]"
WP_157051214.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,106420,106629,-1190,-981,-,+,hypothetical protein,IV45_RS07880,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741372.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,107326,107607,-2168,-1887,-,+,hypothetical protein,IV45_RS05350,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741374.1,WP_057741369.1,NZ_JQBW01000010.1,64,,,,,107787,109538,-4099,-2348,+,-,DUF2075 domain-containing protein,IV45_RS05355,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[31.41697133159537, 85.74386088269618, 97.96020399892113, 255]","[62.83394266319074, 171.48772176539237, 195.92040799784226, 255]"
WP_083487274.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,109658,110515,-5076,-4219,+,-,Rpn family recombination-promoting nuclease/putative transposase,IV45_RS07790,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_083487275.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,110624,111088,-5649,-5185,-,+,NAD(P)H-dependent oxidoreductase,IV45_RS07795,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_083487276.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,111176,111433,-5994,-5737,-,+,hypothetical protein,IV45_RS05365,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741375.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,111642,112283,-6844,-6203,-,+,TetR/AcrR family transcriptional regulator,IV45_RS05370,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741377.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,112665,113519,-8080,-7226,-,+,alpha/beta fold hydrolase,IV45_RS05375,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741378.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,114445,114678,-9239,-9006,+,-,hypothetical protein,IV45_RS05380,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741380.1,WP_057741369.1,NZ_JQBW01000010.1,66,,,,,114714,116375,-10936,-9275,+,-,recombinase family protein,IV45_RS05385,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[98.6363419323634, 114.18934413242836, 86.11345771742454, 255]","[197.2726838647268, 228.37868826485672, 172.22691543484908, 255]"
WP_057741382.1,WP_057741369.1,NZ_JQBW01000010.1,66,,,,,116368,117945,-12506,-10929,+,-,recombinase family protein,IV45_RS05390,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[98.6363419323634, 114.18934413242836, 86.11345771742454, 255]","[197.2726838647268, 228.37868826485672, 172.22691543484908, 255]"
WP_225357158.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,118040,118543,-13104,-12601,-,+,hypothetical protein,IV45_RS05395,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741383.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,118697,118897,-13458,-13258,+,-,cold-shock protein,IV45_RS05400,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_235807668.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,118992,119405,-13966,-13553,-,+,transposase,IV45_RS07800,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_083487277.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,119941,121317,-15878,-14502,-,+,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,IV45_RS05410,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741387.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,121650,121904,-16465,-16211,+,-,GlsB/YeaQ/YmgE family stress response membrane protein,IV45_RS05415,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741389.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,122055,123056,-17617,-16616,-,+,diacylglycerol kinase,IV45_RS05420,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_057741390.1,WP_057741369.1,NZ_JQBW01000010.1,,,,,,123075,124499,-19060,-17636,-,+,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,IV45_RS05425,GCF_001437055.1,396268,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574298.1,WP_283574311.1,NZ_CANCVZ010000004.1,64,,,,,139969,141183,22604,23818,+,-,DUF2075 domain-containing protein,QOR70_RS04690,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[31.41697133159537, 85.74386088269618, 97.96020399892113, 255]","[62.83394266319074, 171.48772176539237, 195.92040799784226, 255]"
